Name,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),Other skills,"Are you available for 3 months, starting immediately, for a full-time work from home internship? ",Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10,Overall Match Percentage
,2,1,1,1,"Content Writing, English Proficiency (Written), Java, MS-PowerPoint, MS-Word, ARM Microcontroller, Arduino, C Programming, C++ Programming, Canva, Cloud Computing, Computer Vision, Data Structures, Database Management System (DBMS), Effective Communication, Embedded Systems, English Proficiency (Spoken), Google Cloud Computing, HTML, Internet of Things (IoT), MS SQL Server, MS-Excel, MS-Office, Microsoft Azure, Microsoft Visual Studio, Python, SQL, Teaching, .NET, Amazon Web Services (AWS), Atmel AVR, CSS, Circuit Design, Data Analytics, Data Science, Deep Learning, Django, Eclipse (IDE), Engineering Drawing, Flask, Flutter, Hadoop, Image Processing, MEAN/MERN Stack, Machine Learning, MongoDB, Natural Language Processing (NLP), Neural Networks, Node.js, Online Teaching, PCB Design, PLC SCADA, R Programming, REST API, Raspberry Pi, ReactJS, Robotics, SQLite, Software Testing, Swing (Java), UI & UX Design",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2023,,,,,100.0
,1,1,0,0,"Artificial Intelligence, Data Analytics, Data Science, Database Management System (DBMS), Machine Learning, MongoDB, Python, SQL",24,Bachelor of Engineering (B.E),,2017,,,91.25/91.25,96.00/96.00,75.0
,1,2,0,1,"Machine Learning, Tableau, Data Science, Deep Learning, MS-Excel, MySQL, Python",24,B.Sc,,2022,,,,,75.0
,3,3,0,0,"Android, Blockchain, C Programming, C#, C++ Programming, CSS, Computer Networking, Data Analytics, Data Structures, Database Management System (DBMS), Django, Git, GitHub, HTML, Internet of Things (IoT), Java, JavaScript, Linux, Machine Learning, MySQL, Node.js, Online Teaching, PHP, Python, React Native, Ruby on Rails, SQL",24,B.Tech,Computer Science,2025,,,,,87.5
,2,2,0,2,"Data Analytics, Data Science, Deep Learning, Machine Learning, Python, MySQL",24,Bachelor of Science (B.Sc),computer science,2022,,,61.69/61.69,80.20/80.20,75.0
,2,1,0,0,"C Programming, HTML, Python, Creative Writing, Java, Machine Learning",24,B.Tech,Electronics and Communication,2023,7.42/10,,10.00/10.00,9.50/9.50,75.0
,3,3,0,2,"Data Science, Machine Learning, Python, Artificial Intelligence, Data Analytics, Deep Learning, Firebase, Selenium",24,B.Tech,Computer Science And Engineering (Data Science),2025,,,,,75.0
,2,1,0,0,"Data Analytics, Python, Data Science, MS-Excel, Machine Learning",24,Bachelor of Science (B.Sc),computer science,2023,,,,,75.0
,2,2,2,2,"Android, Computer Vision, Data Science, Deep Learning, Firebase, Flask, Flutter, Java, Kotlin, Machine Learning, MySQL, Natural Language Processing (NLP), OpenCV, Python",24,Bachelor of Engineering (B.E),Information Technology,2025,,9.65/10,92.00/92.00,92.00/92.00,75.0
,2,2,0,2,"MS-Excel, Power BI, Computer Vision, Content Writing, Data Science, Deep Learning, Machine Learning, MySQL, Python, SQL",24,B.Tech,Electronics Engineering,2023,,7.94/10,96.70/96.70,10.00/10.00,75.0
,2,1,0,0,"C Programming, CSS, Data Structures, English Proficiency (Written), HTML, JavaScript, MS-Excel, Node.js, Python, Bootstrap, Data Science, Django, GitHub, Machine Learning, ReactJS, WordPress",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,,8.00/8,7.00/7.00,,100.0
,3,2,2,2,"Computer Vision, Python, Algorithms, Amazon Web Services (AWS), C++ Programming, CSS, Data Structures, Deep Learning, Django, Git, GitHub, HTML, JavaScript, Machine Learning, MySQL, Natural Language Processing (NLP), OpenCV, ReactJS",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,8.00/10,,,,87.5
,2,2,0,0,"Canva, LaTeX, MS-Word, Data Analytics, Data Science, MS-Excel, MS-Office, MS-PowerPoint, Machine Learning, Python, R Programming, SQL, Java",23,M.Sc. in Data Science,Data Science,2024,3.33/4,8.48/10,93.80/93.80,90.00/90.00,100.0
,3,1,1,1,"Python, Data Structures, SQL, Data Science, Deep Learning, Django, MATLAB, Machine Learning, Natural Language Processing (NLP), Power BI, Tableau",24,M.Sc (Information Technology),Data Science,2023,,,66.00/66.00,,75.0
,2,1,0,1,"Physics, Data Analytics, Data Science, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word, PCB Soldering, Python, Algorithms, Computer Vision, Deep Learning, Machine Learning, MySQL, Power BI, Research and Analytics, SQL",24,Master of Science (M.Sc),Physics,2021,,8.00/10,,,75.0
,2,2,0,2,"C Programming, Data Science, Data Structures, Deep Learning, Java, MS-Excel, Machine Learning, Python, SQL",24,B.Tech,Computer Science & Engineering,2023,,9.20/10,84.66/84.66,94.88/94.88,100.0
,3,3,1,2,"Data Analytics, Data Science, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Mathematics, Python, Amazon Web Services (AWS), Computer Networking, Computer Vision, Deep Learning, Digital Signal Processing, Java, JavaScript, MATLAB, MS-Excel, OpenCV, R Programming, SQL, SQLite, Natural Language Processing (NLP)",24,B.Tech,Computer Science,2024,,7.51/10,89.60/89.60,91.00/91.00,100.0
,1,1,0,0,"CSS, English Proficiency (Spoken), English Proficiency (Written), HTML, JavaScript, Bootstrap, C++ Programming, MS-Excel, MS-PowerPoint, MS-Word, SQL, Machine Learning, Python",24,B.Tech (Hons.),Computer Science & Engineering,2023,,8.90/10,88.70/88.70,92.30/92.30,75.0
,2,2,1,2,"Algorithms, Data Analytics, Data Science, Data Structures, Deep Learning, MS-Excel, Machine Learning, MySQL, Neural Networks, PostgreSQL, Python, SQL, Computer Vision, Natural Language Processing (NLP)",24,Master of Technology (M.Tech),Data Science,2023,7.50/10,,,,75.0
,3,3,3,2,"Data Analytics, Data Science, English Proficiency (Spoken), Image Processing, MS-Office, MS-Word, Machine Learning, Natural Language Processing (NLP), Project Management, Python, Research and Analytics, Artificial Intelligence, Business Analysis, Computer Vision, Deep Learning, GitHub, MS-Excel, MS-PowerPoint, MySQL, Neural Networks, Power BI, SQL, Statistical Modeling, Tableau, Video Editing",24,Advanced Certification In Data Science,Data Analytics,2023,,9.00/9,60.00/60.00,70.00/70.00,75.0
,2,2,0,0,"Hindi Proficiency (Spoken), Data Analytics, English Proficiency (Spoken), English Proficiency (Written), Financial literacy, Hindi Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Machine Learning, Python, Data Science, SQL",24,MBA,Finance,2019,,,,,75.0
,3,2,0,0,"Data Analytics, Python, Data Science, Google Analytics, MS-Excel, Machine Learning, SQL",24,B.Tech,computer science,2024,,,,,75.0
,3,2,2,2,"HTML, Python, Bootstrap, CSS, Data Science, Deep Learning, Flask, GitHub, MS-Excel, Machine Learning, MongoDB, MySQL, Natural Language Processing (NLP), SQL, Django, Postman",24,Bachelor of Science (B.Sc),Computer Science,2021,,,,,75.0
,2,0,0,0,"Analog And Digital Circuits, Data Science, Data Structures, Django, English Proficiency (Written), Internet of Things (IoT), MS-PowerPoint, MS-Word, Python, Amazon Web Server (AWS), Arduino, Artificial intelligence, C Programming, C#, English Proficiency (Spoken), MySQL, Raspberry Pi",24,B.Tech,Electronics and Communication,2023,,7.30/10,5.40/5.40,5.80/5.80,75.0
,2,2,0,2,"Data Science, Data Structures, Deep Learning, Java, Machine Learning, Microsoft PowerApps, Neural Networks, Python",24,Bachelor of Technology (B.Tech),Mechanical Engineering,2025,,,,,75.0
,2,1,0,3,"Arduino, Computer Vision, Deep Learning, Internet of Things (IoT), Analog And Digital Circuits, C Programming, C#, C++ Programming, Digital Signal Processing, Embedded Systems, MATLAB, MS-Excel, Python, VLSI, Verilog, Machine Learning, R Programming, Raspberry Pi",24,Bachelor of Technology (B.Tech),Electronics and Communication,2023,,9.48/10,94.20/94.20,10.00/10.00,75.0
,2,1,1,1,"MS-Word, Java, MS-Excel, MS-Office, Python, SQL, Artificial intelligence, Computer Vision, Data Analytics, Database Management System (DBMS), Deep Learning, Machine Learning, Natural Language Processing (NLP), R Programming",24,M.Sc (Information Technology),Data Science,2024,,6.09/10,5.00/5.00,,87.5
,3,2,0,0,"Python, Data Analytics, Data Science, MS-Excel, MS-Office, Machine Learning, Mathematics, PostgreSQL, Tableau, R Programming, SPSS, SQL",24,Master of Science (M.Sc),Statistics,2023,9.33/10,,,,100.0
,1,1,0,1,"Artificial Intelligence, C Programming, Database Management System (DBMS), Java, Deep Learning, Machine Learning, Python",24,B.Tech,"Artificial Intelligence, Machine Learning And Robotics",2024,,8.05/10,8.12/8.12,,87.5
,2,2,0,0,"Business Analysis, Data Analytics, Data Science, Database Management System (DBMS), Machine Learning, MySQL, Python, Research and Analytics, Statistics, Statistical Modeling",24,Post Graduate Programme (PGP),Data Science,2023,,,,,75.0
,2,2,2,2,"Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL, Tableau",24,Integrated B.E & MBA,Data Science,2006,,,,,75.0
,2,1,0,0,"Bootstrap, C Programming, CSS, Data Structures, Database Management System (DBMS), Django, HTML, Java, MS-Office, Python, JavaScript, Machine Learning, jQuery",24,B.Tech,Computer Science & Engineering,2024,,,,,87.5
,2,2,2,1,"C Programming, C++ Programming, Machine Learning, Natural Language Processing (NLP), Python, Computer Vision, Deep Learning, Neural Networks, OpenCV",24,B.Tech,Computer Science & Engineering,2023,,9.58/10,92.40/92.40,,75.0
,2,2,1,1,"C Programming, Content Writing, Database Management System (DBMS), English Proficiency (Spoken), English Proficiency (Written), GitHub, MS-Excel, Machine Learning, Python, Creative Writing, Data Analytics, Data Science, Deep Learning, MySQL, Natural Language Processing (NLP), Neural Networks, R Programming, Research and Analytics",24,Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,,8.48/10,91.40/91.40,95.20/95.20,100.0
,3,2,1,0,"C Programming, C++ Programming, Data Science, MS-Office, Python, Data Analytics, Data Structures, Image Processing, MATLAB, Machine Learning, Neural Networks, Visual Basic (VB), Natural Language Processing (NLP), Research and Analytics, SQL",24,B.Tech,Civil Engineering,2024,,7.56/10,,9.80/9.80,100.0
,2,2,0,2,"Data Analytics, MS-PowerPoint, MS-Word, Data Science, Deep Learning, MS-Excel, Machine Learning, Python, Artificial Intelligence, Google Analytics, SQL, Search Engine Optimization (SEO), Tableau",24,Master of Science (M.Sc) (Tech),Food Technology,2019,7.10/10,4.88/10,,,75.0
,3,2,2,1,"C Programming, MySQL, Python, SQL, Algorithms, Blender 3D, C++ Programming, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), English Proficiency (Spoken), English Proficiency (Written), GitHub, HTML, Java, Linux, MS-Office, Machine Learning, Natural Language Processing (NLP), Blockchain, CSS, Computer Vision, Deep Learning, Django, JavaScript, MS SQL Server, PHP, R Programming, WordPress",24,B.Tech,Computer Science & Engineering,2025,,,,,100.0
,2,2,0,2,"Bootstrap, C Programming, C++ Programming, CSS, Computer Networks, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, Django, English Proficiency (Spoken), English Proficiency (Written), Git, Git Bash, HTML, Hindi Proficiency (Spoken), Java, Machine Learning, Microsoft Azure, Python, SQL, Computer Vision, Image Processing, JSP, JavaScript, MATLAB, MySQL, PHP, Servlets, Visual Basic (VB), XML",24,Bachelor of Computer Applications (BCA),Computer Application,2023,,8.09/10,72.67/72.67,73.50/73.50,100.0
,3,3,2,3,"C++ Programming, Computer Vision, Deep Learning, Machine Learning, Python, Data Science, Natural Language Processing (NLP)",24,Master of Technology (M.Tech),Artificial Intelligence,2023,,7.62/10,,,100.0
,2,2,2,1,"Adobe Photoshop, Amazon Web Server (AWS), Amazon Web Services (AWS), Artificial Intelligence, AutoCAD, BIG DATA ANALYTICS, CAD, Computer Vision, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Design Thinking, Django, JavaScript, MATLAB, MS-Excel, MS-Office, MS-PowerPoint, Machine Learning, MySQL, Natural Language Processing (NLP), Neural Networks, PostgreSQL, Power BI, Python, SQL, Tableau, Deep Learning, HTML, Java",24,B.Tech,Artificial Intelligence,2024,,7.88/10,7.50/7.50,7.50/7.50,75.0
,2,3,3,3,"Deep Learning, MS-Excel, MS-Office, Machine Learning, Natural Language Processing (NLP), Data Analytics, Data Science, Python, SQL, Tableau",24,Bachelor of Engineering (B.E),Mechanical Engineering,2019,,,67.52/67.52,83.59/83.59,75.0
,2,2,2,2,"Amazon Web Services (AWS), Data Science, Deep Learning, Docker, Git, GitHub, Kubernetes, Machine Learning, Natural Language Processing (NLP), Python",24,Bachelor of Technology (B.Tech),Electronics and Communication,2021,,,9.20/9.20,8.30/8.30,75.0
,2,2,0,3,"Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Artificial Intelligence, Bootstrap, C Programming, C++ Programming, CSS, Computer Vision, Data Science, Data Structures, Google Suite (G Suite), Google Workspace, HTML, JavaScript, MS-Excel, MS-PowerPoint, MS-Word, Machine Learning, Neural Networks, Painting, Python, ReactJS, Sketching, Django, Node.js, WordPress",24,B.Tech,Computer Science & Engineering,2024,,,87.00/87.00,10.00/10.00,100.0
,0,2,0,0,"C++ Programming, MS-Office, Machine Learning, Artificial Intelligence, C Programming, Data Science, Data Structures, Database Management System (DBMS), Java",24,Master of Technology (M.Tech),Computer Science & Engineering,2017,,,,,75.0
,3,3,0,0,"Machine Learning, Python, C Programming, C++ Programming, CSS, HTML, Java, SQL, UI & UX Design, JavaScript",24,Bachelor of Engineering (B.E) (Hons.),Computer Science & Engineering,2025,,,9.50/9.50,9.70/9.70,75.0
,2,2,1,1,"Algorithms, CSS, Data Structures, GitHub, HTML, Linux, MS-Excel, Machine Learning, MySQL, Neural Networks, Python, SQL, Artificial intelligence, Computer Vision, Data Analytics, Data Science, Deep Learning, Natural Language Processing (NLP), OpenCV",24,B.Tech,Computer Science & Engineering,2023,,7.78/10,63.20/63.20,8.00/8.00,75.0
,2,1,1,1,"C++ Programming, CSS, English Proficiency (Spoken), HTML, Python, Data Analytics, Data Science, Deep Learning, Flask, JavaScript, Machine Learning, Natural Language Processing (NLP), Neural Networks",24,B.Tech,Computer Science & Engineering,2025,,,,,100.0
,2,2,0,2,"C Programming, CSS, Deep Learning, HTML, Java, JavaScript, Machine Learning, Node.js, Python, R Programming, ReactJS, TypeScript",24,Bachelor of Technology (B.Tech),,2024,7.07/10,,,,75.0
,2,2,0,0,"C Programming, C++ Programming, CSS, Express.js, Machine Learning, MongoDB, Node.js, Python, Bootstrap, HTML, REST API, ReactJS, Software Testing",24,B.Tech,Computer Science,2024,,8.92/10,,,75.0
,2,2,2,2,"Database Management System (DBMS), VS Code, WordPress, C++ Programming, CSS, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), HTML, Java, MS-Excel, Machine Learning, Natural Language Processing (NLP), Neural Networks, OpenCV, PHP, Python, Research and Analytics, SQL, Visual Basic (VB), Data Analytics, JavaScript, Power BI, Tableau",24,M.Sc (Information Technology),Computer Application(Data Science),2023,,6.11/10,67.69/67.69,72.45/72.45,100.0
,2,2,0,0,"Data Analytics, Data Science, MS SQL Server, MS-Excel, Machine Learning, Python",24,Post Graduate Diploma In Data Analytics And Machine Learning,Data Analytics,2023,7.50/10,8.19/10,,,75.0
,3,3,3,2,"Machine Learning, MongoDB, Natural Language Processing (NLP), Python, Algorithms, Artificial Intelligence, Computer Vision, Data Science, Data Structures, Deep Learning, Git, GitHub, Linux, Neural Networks, OpenCV, PostgreSQL, Postman, SQL, SQLite, Selenium, Business Analysis, Business Research, Data Analytics, Django, FastAPI, Flask, REST API",24,B.Tech (Hons.),computer science,2024,,9.68/10,96.20/96.20,,75.0
